title,href,clean_title
"Кабмін найближчими днями подасть до Ради єдиний законопроєкт щодо податків, - джерело",https://www.rbc.ua/rus/news/kabmin-nayblizhchimi-dnyami-podast-radi-ediniy-1773910774.html,кабмін найближчими днями подасть до ради єдиний законопроєкт щодо податків джерело
"Курс валют на 19 березня: у скільки сьогодні обійдуться 100 доларів в обмінниках та банках Чт 19.03.2026, 09:10",https://www.rbc.ua/rus/news/kurs-valyut-19-bereznya-skilki-sogodni-obiydutsya-1773903374.html,курс валют на березня у скільки сьогодні обійдуться доларів в обмінниках та банках чт
"Дизель в Україні може злетіти до 90 гривень: експерт попередив про різкий стрибок цін Чт 19.03.2026, 13:42",https://www.rbc.ua/rus/news/dizel-ukrayini-mozhe-zletiti-90-griven-ekspert-1773920514.html,дизель в україні може злетіти до гривень експерт попередив про різкий стрибок цін чт
Росіяни шукають альтернативу Starlink: ISW розкрив нову тактику окупантів з дронами,https://www.rbc.ua/rus/news/rosiyani-shukayut-alternativu-starlink-isw-1773922002.html,росіяни шукають альтернативу starlink isw розкрив нову тактику окупантів з дронами
"Удар по Криму та ще двох областях: Генштаб назвав результати атаки ЗСУ Чт 19.03.2026, 14:28",https://www.rbc.ua/rus/news/udar-krimu-ta-shche-dvoh-oblastyah-genshtab-1773923026.html,удар по криму та ще двох областях генштаб назвав результати атаки зсу чт
"Поповнили обмінний фонд: бійці ГУР показали, як проводять зачистку на Запоріжжі Чт 19.03.2026, 12:42",https://www.rbc.ua/rus/news/popovnili-obminniy-fond-biytsi-gur-pokazali-1773915437.html,поповнили обмінний фонд бійці гур показали як проводять зачистку на запоріжжі чт
Кредит на 90 млрд євро для України: лідери ЄС дали позитивний прогноз щодо першого траншу,https://www.rbc.ua/rus/news/kredit-90-mlrd-evro-ukrayini-lideri-es-dali-1773927561.html,кредит на млрд євро для україни лідери єс дали позитивний прогноз щодо першого траншу
"УЗВ розкритикувала обмеження використання вагонів за віком і навела приклад ЄС Чт 19.03.2026, 14:20",https://www.rbc.ua/rus/news/uzv-rozkritikuvala-obmezhennya-vikoristannya-1773922780.html,узв розкритикувала обмеження використання вагонів за віком і навела приклад єс чт
"НБУ залишив облікову ставку на 15%: як це рішення позначиться на житті українців Чт 19.03.2026, 14:14",https://www.rbc.ua/rus/news/nbu-priynyav-rishennya-shchodo-oblikovoyi-1773913012.html,нбу залишив облікову ставку на як це рішення позначиться на житті українців чт
Блокада Ормузької протоки: лідери провідних країн світу висунули вимогу Ірану,https://www.rbc.ua/rus/news/blokada-ormuzkoyi-protoki-lideri-providnih-1773933636.html,блокада ормузької протоки лідери провідних країн світу висунули вимогу ірану
"США та Ізраїль мають різні цілі: глава американської розвідки зробила заяву щодо Ірану Чт 19.03.2026, 16:26",https://www.rbc.ua/rus/news/ssha-ta-izrayil-mayut-rizni-tsili-glava-amerikanskoyi-1773930393.html,сша та ізраїль мають різні цілі глава американської розвідки зробила заяву щодо ірану чт
"Винищувач майбутнього: Франція і Німеччина дадуть останній шанс проєкту Чт 19.03.2026, 16:20",https://www.rbc.ua/rus/news/vinishchuvach-maybutnogo-frantsiya-i-nimechchina-1773929001.html,винищувач майбутнього франція і німеччина дадуть останній шанс проєкту чт
Чоловік напав на наряд поліції у Слов'янську: деталі смертельної перестрілки,https://www.rbc.ua/rus/news/cholovik-napav-naryad-politsiyi-slov-yansku-1773919653.html,чоловік напав на наряд поліції у слов янську деталі смертельної перестрілки
"Невідомі дрони атакували хімзавод у Росії - найбільший у світі виробник добрив Чт 19.03.2026, 09:02",https://www.rbc.ua/rus/news/nevidomi-droni-atakuvali-himzavod-rosiyi-1773903163.html,невідомі дрони атакували хімзавод у росії найбільший у світі виробник добрив чт
"Хвалене Путіним ППО не впоралося: в окупованому Криму вибухи на військових об'єктах РФ Чт 19.03.2026, 01:50",https://www.rbc.ua/rus/news/okupovanomu-krimu-vibuhi-atakovano-zenitno-1773878757.html,хвалене путіним ппо не впоралося в окупованому криму вибухи на військових об єктах рф чт
"Тюлень-монах, тур і навіть росомаха: 10 ""українських"" тварин, які зникли назавжди",https://www.rbc.ua/rus/news/tyulen-monah-tur-i-navit-rosomaha-10-ukrayinskih-1773908573.html,тюлень монах тур і навіть росомаха українських тварин які зникли назавжди
17:25 Блокада Ормузької протоки: лідери провідних країн світу висунули вимогу Ірану,https://www.rbc.ua/rus/news/blokada-ormuzkoyi-protoki-lideri-providnih-1773933636.html,блокада ормузької протоки лідери провідних країн світу висунули вимогу ірану
"17:10 Зеленський назвав п'ять причин, чому РФ почуватиметься сильнішою на переговорах",https://www.rbc.ua/rus/news/zelenskiy-nazvav-p-yat-prichin-chomu-rf-pochuvatimetsya-1773932797.html,зеленський назвав п ять причин чому рф почуватиметься сильнішою на переговорах
"17:06 Вночі ще морозно, але річкам вже ""тісно"": яка погода буде в Україні завтра і де прогріє до +14",https://www.rbc.ua/rus/news/vnochi-shche-morozno-ale-richkam-vzhe-tisno-1773931910.html,вночі ще морозно але річкам вже тісно яка погода буде в україні завтра і де прогріє до
"16:49 Півтори години впусту. Лідери ЄС не дотиснули Орбана щодо кредиту для України, - Politico",https://www.rbc.ua/rus/news/pivtori-godini-vpustu-lideri-es-dotisnuli-1773931159.html,півтори години впусту лідери єс не дотиснули орбана щодо кредиту для україни politico
16:38 Неприйнятна поведінка: Орбана жорстко розкритикували під час засідання Євроради,https://www.rbc.ua/rus/news/nepriynyatna-povedinka-orbana-zhorstko-rozkritikuvali-1773930243.html,неприйнятна поведінка орбана жорстко розкритикували під час засідання євроради
"16:38 Суд відправив до в'язниці нардепку Марченко, яка викинула хабар за паркан",https://www.rbc.ua/rus/news/sud-vidpraviv-v-yaznitsi-nardepku-marchenko-1773931060.html,суд відправив до в язниці нардепку марченко яка викинула хабар за паркан
"16:31 5 штурмова бригада отримала велику партію допомоги від ""Української команди""",https://www.rbc.ua/rus/news/5-shturmova-brigada-otrimala-veliku-partiyu-1773930697.html,штурмова бригада отримала велику партію допомоги від української команди
16:26 США та Ізраїль мають різні цілі: глава американської розвідки зробила заяву щодо Ірану,https://www.rbc.ua/rus/news/ssha-ta-izrayil-mayut-rizni-tsili-glava-amerikanskoyi-1773930393.html,сша та ізраїль мають різні цілі глава американської розвідки зробила заяву щодо ірану
16:20 Винищувач майбутнього: Франція і Німеччина дадуть останній шанс проєкту,https://www.rbc.ua/rus/news/vinishchuvach-maybutnogo-frantsiya-i-nimechchina-1773929001.html,винищувач майбутнього франція і німеччина дадуть останній шанс проєкту
16:07 Знизили акциз і не тільки: як Італія рятується від паливної кризи,https://www.rbc.ua/rus/news/znizili-aktsiz-i-tilki-k-italiya-ryatuetsya-1773928572.html,знизили акциз і не тільки як італія рятується від паливної кризи
15:50 Пентагон поскаржився на передану зброю Україні і зробив тривожну заяву,https://www.rbc.ua/rus/news/pentagon-poskarzhivsya-peredanu-zbroyu-ukrayini-1773928243.html,пентагон поскаржився на передану зброю україні і зробив тривожну заяву
15:42 Кредит на 90 млрд євро для України: лідери ЄС дали позитивний прогноз щодо першого траншу,https://www.rbc.ua/rus/news/kredit-90-mlrd-evro-ukrayini-lideri-es-dali-1773927561.html,кредит на млрд євро для україни лідери єс дали позитивний прогноз щодо першого траншу
"15:40 Угорщина заборонила в’їзд до Шенгену трьом українцям через ""погрози"" Орбану",https://www.rbc.ua/rus/news/ugorshchina-zaboronila-v-yizd-shengenu-trom-1773926689.html,угорщина заборонила в їзд до шенгену трьом українцям через погрози орбану
"15:34 Долар знову росте: курс на 20 березня та чому валюту буде ""штормити"" в березні",https://www.rbc.ua/rus/news/dolar-znovu-roste-kurs-20-bereznya-ta-chomu-1773927119.html,долар знову росте курс на березня та чому валюту буде штормити в березні
15:20 Німеччина готує обмеження цін на пальне і великі штрафи для АЗС,https://www.rbc.ua/rus/news/nimechchina-gotue-obmezhennya-tsin-palne-1773926200.html,німеччина готує обмеження цін на пальне і великі штрафи для азс
"15:09 Трамп готує візит Лукашенка до США та називає його своїм ""хорошим другом""",https://www.rbc.ua/rus/news/tramp-gotue-vizit-lukashenka-ssha-ta-nazivae-1773925172.html,трамп готує візит лукашенка до сша та називає його своїм хорошим другом
"14:49 Стійкість під обстрілами: Kernel сплатив 5,7 млрд грн податків у 2025 році",https://www.rbc.ua/rus/news/stiykist-pid-obstrilami-kernel-splativ-5-1773923707.html,стійкість під обстрілами kernel сплатив млрд грн податків у році
14:38 Росіяни шукають альтернативу Starlink: ISW розкрив нову тактику окупантів з дронами,https://www.rbc.ua/rus/news/rosiyani-shukayut-alternativu-starlink-isw-1773922002.html,росіяни шукають альтернативу starlink isw розкрив нову тактику окупантів з дронами
14:28 Удар по Криму та ще двох областях: Генштаб назвав результати атаки ЗСУ,https://www.rbc.ua/rus/news/udar-krimu-ta-shche-dvoh-oblastyah-genshtab-1773923026.html,удар по криму та ще двох областях генштаб назвав результати атаки зсу
14:20 УЗВ розкритикувала обмеження використання вагонів за віком і навела приклад ЄС,https://www.rbc.ua/rus/news/uzv-rozkritikuvala-obmezhennya-vikoristannya-1773922780.html,узв розкритикувала обмеження використання вагонів за віком і навела приклад єс
14:20 Макрон закликав до мораторію на удари по енергетиці на Близькому Сход,https://www.rbc.ua/rus/news/makron-zaklikav-vvesti-moratoriy-udari-tsivilniy-1773921530.html,макрон закликав до мораторію на удари по енергетиці на близькому сход
14:14 НБУ залишив облікову ставку на 15%: як це рішення позначиться на житті українців,https://www.rbc.ua/rus/news/nbu-priynyav-rishennya-shchodo-oblikovoyi-1773913012.html,нбу залишив облікову ставку на як це рішення позначиться на житті українців
14:07 Російський винищувач порушив повітряний простір НАТО: чим закінчився інцидент,https://www.rbc.ua/rus/news/rosiyskiy-vinishchuvach-porushiv-povitryaniy-1773921963.html,російський винищувач порушив повітряний простір нато чим закінчився інцидент
13:42 Дизель в Україні може злетіти до 90 гривень: експерт попередив про різкий стрибок цін,https://www.rbc.ua/rus/news/dizel-ukrayini-mozhe-zletiti-90-griven-ekspert-1773920514.html,дизель в україні може злетіти до гривень експерт попередив про різкий стрибок цін
